195  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=42 Nb_Messages=217
196  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=103, nb_calimsMax=4, nb_claims=32 Nb_Messages=199
197  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=15 Nb_Messages=207
198  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=4 Nb_Messages=193
199  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=17 Nb_Messages=232
200  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=13 Nb_Messages=218
201  notDtected 3 0 nb_WinessCacheMax=2 nb_WinessCache=112, nb_calimsMax=2, nb_claims=13 Nb_Messages=244
202  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=17 Nb_Messages=174
203  notDtected 3 0 nb_WinessCacheMax=2 nb_WinessCache=107, nb_calimsMax=2, nb_claims=14 Nb_Messages=230
204  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=21 Nb_Messages=202
205  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=20 Nb_Messages=183
206  notDtected 3 0 nb_WinessCacheMax=2 nb_WinessCache=109, nb_calimsMax=2, nb_claims=3 Nb_Messages=202
207  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=4 Nb_Messages=214
208  notDtected 3 0 nb_WinessCacheMax=1 nb_WinessCache=100, nb_calimsMax=1, nb_claims=1 Nb_Messages=180
209  notDtected 3 0 nb_WinessCacheMax=4 nb_WinessCache=106, nb_calimsMax=4, nb_claims=15 Nb_Messages=215
210  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=6 Nb_Messages=183
211  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=22 Nb_Messages=191
212  notDtected 3 0 nb_WinessCacheMax=4 nb_WinessCache=106, nb_calimsMax=4, nb_claims=13 Nb_Messages=196
213  notDtected 3 0 nb_WinessCacheMax=4 nb_WinessCache=111, nb_calimsMax=4, nb_claims=11 Nb_Messages=215
214  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=14 Nb_Messages=233
215  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=15 Nb_Messages=192
216  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=7 Nb_Messages=235
